Date,Account,Category,Subcategory,Note,INR,Income/Expense,Note,Amount
1/27/2022 13:39,CUB - online payment,Food,,Zinger box meal,279,Expense,,279
1/27/2022 13:38,CUB - online payment,Other,,From vicky,300,Income,,300
1/27/2022 13:38,CUB - online payment,Other,,From dad,1500,Income,,1500
1/26/2022 17:45,CUB - online payment,Food,,Snacks,115,Expense,,115
1/26/2022 17:45,CUB - online payment,Other,,Vishnu 100 gowdham 25,125,Income,,125
1/26/2022 16:52,CUB - online payment,Food,,Paani poori,25,Expense,,25
1/25/2022 13:35,CUB - online payment,Food,,Kfc date with myself,259,Expense,,259
1/25/2022 10:23,CUB - online payment,Food,,Lemon tea,18,Expense,,18
1/25/2022 9:20,CUB - online payment,Transportation,,Train to vnr,325,Expense,,325
1/24/2022 20:17,CUB - online payment,Food,,Snack,40,Expense,,40
1/24/2022 14:08,CUB - online payment,Food,,Lunch with company,133,Expense,,133
1/23/2022 21:45,CUB - online payment,Food,,Pepsi,40,Expense,,40
1/23/2022 21:41,CUB - online payment,Food,,Dinner,465,Expense,,465
1/23/2022 21:29,CUB - online payment,Food,,Sent to vicky,300,Expense,,300
1/23/2022 21:29,CUB - online payment,Food,,Lunch,302,Expense,,302
1/23/2022 21:29,CUB - online payment,Other,,From vicky,310,Income,,310
1/23/2022 21:27,CUB - online payment,Food,,Snacks with preethi and azar,176,Expense,,176
1/23/2022 21:27,CUB - online payment,Social Life,,Badminton,200,Expense,,200
1/23/2022 21:27,CUB - online payment,Other,,From dad,2000,Income,,2000
1/21/2022 14:22,CUB - online payment,Food,,Lunch with company,188,Expense,,188
1/21/2022 11:47,CUB - online payment,Food,,Snacks,37,Expense,,37
1/21/2022 11:47,CUB - online payment,Other,,From vicky,200,Income,,200
1/19/2022 14:27,CUB - online payment,Food,,Lunch + chocolate for preethi,171,Expense,,171
1/18/2022 20:54,CUB - online payment,Food,,Dinner,301.15,Expense,,301.15
1/18/2022 17:10,CUB - online payment,Food,,Snack with preethi,59,Expense,,59
1/18/2022 13:51,CUB - online payment,Food,,Lunch with company,148,Expense,,148
1/18/2022 12:59,CUB - online payment,Other,,To kumara,200,Expense,,200
1/18/2022 12:59,CUB - online payment,Other,,From dad,1000,Income,,1000
1/17/2022 18:31,CUB - online payment,Food,,Eve snack,100,Expense,,100
1/15/2022 21:17,CUB - online payment,Transportation,,Bus to Bangalore,1365,Expense,,1365
1/15/2022 21:16,CUB - online payment,Other,,From dad,1500,Income,,1500
1/15/2022 21:16,CUB - online payment,Food,,Snacks,70,Expense,,70
1/14/2022 16:58,CUB - online payment,Other,,Kumara,170,Income,,170
1/14/2022 16:56,CUB - online payment,Other,,Siva + 100 cash,70,Income,,70
1/14/2022 16:56,CUB - online payment,Other,,Gundan + prasanna,340,Income,,340
1/14/2022 16:55,CUB - online payment,Other,,Dinesh and maddy + 100 cash,240,Income,,240
1/14/2022 16:54,CUB - online payment,Other,,From gowdham,340,Income,,340
1/14/2022 16:54,CUB - online payment,Food,,Lunch pongal,1530,Expense,,1530
1/13/2022 20:46,CUB - online payment,Food,,Dinner,66,Expense,,66
1/13/2022 19:10,CUB - online payment,Other,,From dad,1000,Income,,1000
1/13/2022 17:47,CUB - online payment,Transportation,,Rapido to pg,43,Expense,,43
01-12-2022 22.44,CUB - online payment,Other,,Recharge by gowdham,479,Expense,,479
01-12-2022 13.25,CUB - online payment,Food,,Pizza,301.75,Expense,,301.75
01-12-2022 13.25,CUB - online payment,Other,,From kumara,200,Income,,200
01-11-2022 14.07,CUB - online payment,Food,,Lunch with not preethi,135.5,Expense,,135.5
01-10-2022 14.04,CUB - online payment,Food,,Friday snacks with preethi gang,106,Expense,,106
01-08-2022 13.46,CUB - online payment,Other,,From gowdham,260,Income,,260
01-08-2022 13.45,CUB - online payment,Food,,Lunch with gowdham,535.3,Expense,,535.3
01-08-2022 13.38,CUB - online payment,Household,,Rent,4580,Expense,,4580
01-07-2022 13.51,CUB - online payment,Food,,Coffee + biscuit,15,Expense,,15
01-06-2022 21.30,CUB - online payment,Other,,From barath and shakur,440,Income,,440
01-06-2022 20.58,CUB - online payment,Food,,Ketch up,20,Expense,,20
01-06-2022 20.13,CUB - online payment,Food,,Dinner with roommate,877.81,Expense,,877.81
01-06-2022 14.22,CUB - online payment,Food,,Bingo,10,Expense,,10
01-06-2022 11.48,CUB - online payment,Transportation,,Rapido to pg,42,Expense,,42
01-05-2022 20.23,CUB - online payment,Food,,McDonald's with company,211,Expense,,211
01-05-2022 14.46,CUB - online payment,Other,,Lended money returned to vishnu,40,Expense,,40
01-05-2022 14.42,CUB - online payment,Other,,Lended money returned to kumara,30,Expense,,30
01-05-2022 14.42,CUB - online payment,Food,,Jan 2nd with shakur and barath,354,Expense,,354
01-05-2022 14.39,CUB - online payment,Other,,To gobi 1st 1/4th,500,Expense,,500
01-05-2022 14.37,CUB - online payment,Other,,To abijith and to vicky lend money returned,500,Expense,,500
01-05-2022 14.35,CUB - online payment,Transportation,,Refund for bus ticket,60,Expense,,60
01-05-2022 14.30,CUB - online payment,Food,,Lunch with company,388,Expense,,388
01-04-2022 22.11,CUB - online payment,Education,,Arrear and reval fee,1400,Expense,,1400
01-04-2022 22.10,CUB - online payment,Salary,,Salary,8000,Income,,8000
01-04-2022 13.53,CUB - online payment,Food,,Lunch with company,106,Expense,,106
01-04-2022 8.01,CUB - online payment,Other,,To vicky,80,Expense,,80
01-04-2022 7.58,CUB - online payment,Food,,Sent to preethi,107,Expense,,107
01-03-2022 22.15,CUB - online payment,Food,,Dairy milk,10,Expense,,10
01-03-2022 21.54,CUB - online payment,Other,,From barath,201,Income,,201
01-03-2022 21.12,CUB - online payment,Other,,From gpay,5,Income,,5
01-03-2022 21.11,CUB - online payment,Other,,From shakur,140,Income,,140
01-03-2022 14.31,CUB - online payment,Food,,Lunch unlimited nv,300,Expense,,300
01-03-2022 14.30,CUB - online payment,Other,,From abi,300,Income,,300
01-02-2022 20.33,CUB - online payment,Other,,Tablet to gowdham,8,Expense,,8
01-02-2022 20.32,CUB - online payment,Food,,Dinner with barath,200,Expense,,200
01-02-2022 14.16,CUB - online payment,Transportation,,Train to vnr,725,Expense,,725
01-01-2022 21.46,CUB - online payment,Food,,Snacks,85,Expense,,85
01-01-2022 21.45,CUB - online payment,Allowance,,From dad,1000,Income,,1000
12/30/2021 14:10,CUB - online payment,Food,,To barath,20,Expense,,20
12/30/2021 13:56,CUB - online payment,Transportation,,Pg to office,43,Expense,,43
12/30/2021 13:36,CUB - online payment,Other,,From kumara,30,Income,,30
12/30/2021 12:43,CUB - online payment,Food,,Horlicks + kolakattai,25,Expense,,25
12/30/2021 12:38,CUB - online payment,Transportation,,Bommasandra to pg,199,Expense,,199
12/30/2021 12:37,CUB - online payment,Other,,From Deepak,250,Income,,250
12/30/2021 11:45,CUB - online payment,Food,,Water,20,Expense,,20
12/30/2021 11:45,CUB - online payment,Other,,From abi,20,Income,,20
12/30/2021 11:45,CUB - online payment,Transportation,,Rapido + toll,286,Expense,,286
12/30/2021 11:44,CUB - online payment,Other,,From Deepak,250,Income,,250
12/28/2021 13:42,CUB - online payment,Food,,Coffee and thattai,14,Expense,,14
12/27/2021 13:45,CUB - online payment,Food,,Lunch with barath,115,Expense,,115
12/27/2021 13:44,CUB - online payment,Other,,From vicky,80,Income,,80
12/27/2021 12:33,CUB - online payment,Other,,From ganesan,40,Income,,40
12/27/2021 12:33,CUB - online payment,Food,,Coconut water with stu,50,Expense,,50
12/25/2021 22:53,CUB - online payment,Food,,Dinner with barath,504,Expense,,504
12/25/2021 20:46,CUB - online payment,Transportation,,Cab,306,Expense,,306
12/25/2021 19:50,CUB - online payment,Self-development,,Books,400,Expense,,400
12/25/2021 17:01,CUB - online payment,Food,,Corn,30,Expense,,30
12/25/2021 15:35,CUB - online payment,Food,,Water,30,Expense,,30
12/25/2021 13:32,CUB - online payment,Food,,Milk with bharath,40,Expense,,40
12/24/2021 21:49,CUB - online payment,Social Life,,Beer,150,Expense,,150
12/24/2021 14:35,CUB - online payment,Food,,Lunch with company,262,Expense,,262
12/23/2021 16:31,CUB - online payment,Food,,Lemon tea with company,15,Expense,,15
12/23/2021 13:51,CUB - online payment,Food,,Puffs and coffee,32,Expense,,32
12/21/2021 20:53,CUB - online payment,Food,,Dinner with barath,239,Expense,,239
12/21/2021 14:02,CUB - online payment,Food,,Puffs,25,Expense,,25
12/21/2021 11:43,CUB - online payment,Food,,Bun,18,Expense,,18
12/20/2021 19:23,CUB - online payment,Food,,Milk with bharath,80,Expense,,80
12/20/2021 19:22,CUB - online payment,Transportation,,Taxi,80,Expense,,80
12/20/2021 16:55,CUB - online payment,Food,,Snacks,20,Expense,,20
12/20/2021 15:29,CUB - online payment,Food,,Water,20,Expense,,20
12/20/2021 13:35,CUB - online payment,Food,,Lunch with barath,85,Expense,,85
12/20/2021 9:46,CUB - online payment,Food,,Milk with bharath,40,Expense,,40
12/19/2021 15:51,CUB - online payment,Other,,To siva,100,Expense,,100
12/18/2021 21:01,CUB - online payment,Other,,To kumara,100,Expense,,100
12/18/2021 21:01,CUB - online payment,Other,,To abijith,200,Expense,,200
12/18/2021 21:00,CUB - online payment,Food,,To rahul,113,Expense,,113
12/18/2021 21:00,CUB - online payment,Allowance,,From dad,1000,Income,,1000
12/18/2021 19:52,CUB - online payment,Other,,Lended money,400,Income,,400
12/18/2021 19:51,CUB - online payment,Social Life,,Spiderman ,363.72,Expense,,363.72
12/18/2021 14:19,CUB - online payment,Food,,Lunch,160,Expense,,160
12/17/2021 18:54,CUB - online payment,Food,,Milk with bharath,70,Expense,,70
12/17/2021 14:45,CUB - online payment,Food,,Lunch with company,110,Expense,,110
12/17/2021 8:35,CUB - online payment,Other,,Gave to gowdham,50,Expense,,50
12/16/2021 18:44,CUB - online payment,Food,,Egg,30,Expense,,30
12/16/2021 18:35,CUB - online payment,Food,,Panipoori,20,Expense,,20
12/16/2021 13:38,CUB - online payment,Food,,Lunch,30,Expense,,30
12/16/2021 10:42,CUB - online payment,Food,,Milk with bharath,110,Expense,,110
12/14/2021 23:54,CUB - online payment,Food,,Lunch,40,Expense,,40
12/14/2021 21:21,CUB - online payment,Food,,Snacks,75,Expense,,75
12/14/2021 21:03,CUB - online payment,Food,,Panipoori,80,Expense,,80
12/14/2021 15:18,CUB - online payment,Food,,Snacks,74,Expense,,74
12/14/2021 10:33,CUB - online payment,Food,,Milk with bharath,65,Expense,,65
12-12-2021 21.47,CUB - online payment,Food,,Milk with bharath,25,Expense,,25
12-11-2021 9.22,CUB - online payment,Allowance,,From dad,1000,Income,,1000
12-11-2021 8.20,CUB - online payment,Other,,From stu,240,Income,,240
12-10-2021 21.38,CUB - online payment,Food,,Shopping,241,Expense,,241
